ispb,nome_completo,nome_reduzido,cnpj,tipo_instituicao,autorizada_bcb,participa_pix,participa_str,status_operacional,fonte_dados,modalidade_pix,iniciacao_pagamento,facilitador_saque,data_inicio_operacao,acesso_principal,participa_compe
00707903,CC VALE DO CANOAS,CC VALE DO CANOAS,00707903000107,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00714671,EWALLY IP S.A.,EWALLY IP S.A.,00714671000114,Instituição de Pagamento,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,03/04/2023,RSFN,Não
00795423,BANCO SEMEAR,BANCO SEMEAR,00795423000145,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,22/04/2002,RSFN,Sim
00803287,CC CREDIVAZ LTDA,CC CREDIVAZ LTDA,00803287000198,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00804046,COOP CREDICAPI LTDA - SICOOB CREDICAPI,COOP CREDICAPI LTDA - SICOOB CREDICAPI,00804046000163,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00806535,Planner Corretora de Valores S.A.,PLANNER CV S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,27/04/2011,RSFN,Não
00815319,SICOOB SUL-SERRANO,SICOOB SUL-SERRANO,00815319000175,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00869687,CCLA BOA ESPERANÇA,CCLA BOA ESPERANÇA,00869687000104,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00952415,SICOOB CREDFAZ,SICOOB CREDFAZ,00952415000165,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00954288,FUNDO GARANTIDOR DE CREDITOS - FGC,FDO GARANTIDOR CRÉDITOS,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,08/03/2023,RSFN,Não
00966246,CC CREDICERIPA,CC CREDICERIPA,00966246000112,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00968602,CCLA VALE SÃO PATRICIO LTDA,CCLA VALE SÃO PATRICIO LTDA,00968602000137,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00971300,COOP CRESOL PIONEIRA,COOP CRESOL PIONEIRA,00971300000118,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
00997185,BCO B3 S.A.,BCO B3 S.A.,00997185000150,Banco Comercial,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,12/11/2004,RSFN,Não
01009908,CCLA PARA DE MINAS,CCLA PARA DE MINAS,01009908000129,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01023570,Banco Rabobank International Brasil S.A.,BCO RABOBANK INTL BRASIL S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Não
01027058,CIELO IP S.A.,CIELO IP S.A.,01027058000191,Instituição de Pagamento,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,17/07/2020,RSFN,Não
01039011,CC UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,CC UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,01039011000148,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01060307,CCLA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.,CCLA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.,01060307000140,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01062439,CECM DOS FUNCIONARIOS DA COMIGO,CECM DOS FUNCIONARIOS DA COMIGO,01062439000101,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01073966,CCR DE ABELARDO LUZ,CCR DE ABELARDO LUZ,01073966000111,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,14/06/2019,RSFN,Sim
01152097,CC CREDIMATA,CC CREDIMATA,01152097000110,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01155801,COOP CRESOL CENTRO SERRA,COOP CRESOL CENTRO SERRA,01155801000199,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01181521,BCO COOPERATIVO SICREDI S.A.,BCO COOPERATIVO SICREDI S.A.,01181521000155,Banco Múltiplo Cooperativo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,22/04/2002,RSFN,Sim
01187961,CC DISTRITO FEDERAL E ENTORNO,CC DISTRITO FEDERAL E ENTORNO,01187961000110,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01205736,COOP DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.,COOP DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.,01205736000169,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01235921,COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DA GRANDE VITÓRIA/ES,SICRES,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,25/04/2024,RSFN,Não
01259518,SICOOB UNIMAIS CENTRO LESTE PAULISTA,SICOOB UNIMAIS CENTRO LESTE PAULISTA,01259518000107,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01286361,UNIPRIME PIONEIRA CC,UNIPRIME PIONEIRA CC,01286361000109,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01330387,COOP DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL,COOP DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL,01330387000107,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,27/05/2020,RSFN,Não
01374196,CC SÃO FRANCISCO DE SALES LTDA.,CC SÃO FRANCISCO DE SALES LTDA.,01374196000147,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01389651,CCLA DO PLANALTO CATARINENSE,CCLA DO PLANALTO CATARINENSE,01389651000188,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01522368,BCO BNP PARIBAS BRASIL S A,BCO BNP PARIBAS BRASIL S A,01522368000182,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,22/04/2002,RSFN,Sim
01526924,UNICRED HORIZONTES,UNICRED HORIZONTES,01526924000199,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01559914,CCLA LESTE E NORDESTE MINEIRO,CCLA LESTE E NORDESTE MINEIRO,01559914000150,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01572667,COOP UNIPRIME SUL,COOP UNIPRIME SUL,01572667000121,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01604998,CCLA SUL MINAS-SICOOB CREDIVAS,CCLA SUL MINAS-SICOOB CREDIVAS,01604998000104,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01608685,COOP DO ESTADO DO ACRE LTDA.,COOP DO ESTADO DO ACRE LTDA.,01608685000116,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01609345,CC CREDICAMPINA,CC CREDICAMPINA,01609345000100,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01635462,UNICRED PREMIUM CAPITAL,UNICRED PREMIUM CAPITAL,01635462000148,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01637949,CCLA VALE DO PARANAPANEMA,CCLA VALE DO PARANAPANEMA,01637949000160,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01644264,CCLA SICOOB CREDIMEPI,CCLA SICOOB CREDIMEPI,01644264000140,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01648418,NSTECH IP S.A.,NSTECH IP S.A.,01648418000172,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01657678,CCLA SEBASTIAO PARAISO,CCLA SEBASTIAO PARAISO,01657678000104,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01658426,COOP COOPERFORTE LTDA.,COOP COOPERFORTE LTDA.,01658426000108,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,01/09/2020,RSFN,Não
01667352,CCLA SICOOB CREDMISSÃO LTDA.,CCLA SICOOB CREDMISSÃO LTDA.,01667352000168,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01667766,CCLA NOVA SERRANA E REGIÃO CO,CCLA NOVA SERRANA E REGIÃO CO,01667766000197,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01692448,CCLA DO PLANALTO SERRANO,CCLA DO PLANALTO SERRANO,01692448000186,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01699652,CCLA REGIÃO GUAXUPÉ,CCLA REGIÃO GUAXUPÉ,01699652000129,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01701201,Kirton Bank S.A. - Banco Múltiplo,Kirton Bank,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Não
01703620,CCLA UNIÃO CENTRO OESTE MINAS,CCLA UNIÃO CENTRO OESTE MINAS,01703620000150,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01705236,UNICRED PROSPERAR,UNICRED PROSPERAR,01705236000196,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01709266,CCM PROF SAUDE E LIVRE ADMISSÃO TEOFILO OTONI LTDA,CCM PROF SAUDE E LIVRE ADMISSÃO TEOFILO OTONI LTDA,01709266000170,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01722480,QUERO-QUERO VERDECARD IP S.A.,QUERO-QUERO VERDECARD IP S.A.,01722480000167,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Sim,,,
01727929,CC UNICRED EVOLUÇÃO LTDA.,CC UNICRED EVOLUÇÃO LTDA.,01727929000180,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01736516,CCLA REG. CTR. E OESTE MINEIRO,CCLA REG. CTR. E OESTE MINEIRO,01736516000161,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01739375,CCLA LAGOA DA PRATA,CCLA LAGOA DA PRATA,01739375000130,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01760242,CCLA DE BH E CIDADES POLO DE MG,CCLA DE BH E CIDADES POLO DE MG,01760242000146,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01848322,UNIPRIME DO IGUAÇU - CC POUP INV,UNIPRIME DO IGUAÇU - CC POUP INV,01848322000158,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01852137,BCO BRASILEIRO DE CRÉDITO S.A.,BCO BRASILEIRO DE CRÉDITO S.A.,01852137000137,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,11/09/2020,RSFN,Não
01858774,BCO BV S.A.,BCO BV S.A.,01858774000110,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,21/05/2021,RSFN,Não
01864151,CECM SERV E EMPREG PUBL MUN BH BETIM BRUMAD CONTAG IBI NL RN,CECM SERV E EMPREG PUBL MUN BH BETIM BRUMAD CONTAG IBI NL RN,01864151000150,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
01896779,CSU DIGITAL IP S.A.,CSU DIGITAL IP S.A.,01896779000138,Instituição de Pagamento,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02000895,CECM SERV POD JUD TCE ORG PUBL MUN EST FED RJ,CECM SERV POD JUD TCE ORG PUBL MUN EST FED RJ,02000895000190,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02015588,COOP SICOOB CREDIP,COOP SICOOB CREDIP,02015588000182,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02031139,CCLA MONTES CLAROS,CCLA MONTES CLAROS,02031139000128,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02038232,BANCO SICOOB S.A.,BANCO SICOOB S.A.,02038232000164,Banco Múltiplo Cooperativo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,22/04/2002,RSFN,Sim
02057584,CC SICOOB SERTÃO,CC SICOOB SERTÃO,02057584000167,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02072790,CECM SICOOB CREDSAÚDE,CECM SICOOB CREDSAÚDE,02072790000146,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02090126,CCLA SICOOB VALCREDI SUL,CCLA SICOOB VALCREDI SUL,02090126000120,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02093154,CCM EMPR MAGAZINE LUIZA,CCM EMPR MAGAZINE LUIZA,02093154000109,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02144899,CCLA DA REGIÃO CENTRAL DE RONDÔNIA,CCLA DA REGIÃO CENTRAL DE RONDÔNIA,02144899000141,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02173447,CCLA CENTRO NORDESTE MINEIRO,CCLA CENTRO NORDESTE MINEIRO,02173447000198,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02179673,COOPERATIVA DE CRÉDITO LIVRE ADMISSÃO SICOOB OURICRED,COOPERATIVA DE CRÉDITO LIVRE ADMISSÃO SICOOB OURICRED,02179673000186,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02197569,CCLA CREDSAOPAULO,CCLA CREDSAOPAULO,02197569000114,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02217068,"CC CONTADORES, ADMINISTRADORES, ECONOMISTAS E CORRET SEGUROS","CC CONTADORES, ADMINISTRADORES, ECONOMISTAS E CORRET SEGUROS",02217068000152,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02232383,CCLA CIRCUITO CAMPOS VERTENTES,CCLA CIRCUITO CAMPOS VERTENTES,02232383000159,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02254376,CCLA DE DORES DO INDAIA,CCLA DE DORES DO INDAIA,02254376000158,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02275781,CCM SERV FEDERAIS NA PARAÍBA - SICOOB COOPERCRET,CCM SERV FEDERAIS NA PARAÍBA - SICOOB COOPERCRET,02275781000152,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02276653,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,TRINUS CAPITAL DTVM,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,16/07/2020,RSFN,Não
02282165,CC SICOOB CREDICONQUISTA,CC SICOOB CREDICONQUISTA,02282165000129,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02282709,COOP CENTRO NORTE BRASILEIRO,COOP CENTRO NORTE BRASILEIRO,02282709000152,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02309070,CCLA CREDISIS JICRED,CCLA CREDISIS JICRED,02309070000151,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02318507,BCO KEB HANA DO BRASIL S.A.,BCO KEB HANA DO BRASIL S.A.,02318507000113,Banco Comercial,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,22/04/2002,RSFN,Sim
02332886,"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A",XP INVESTIMENTOS CCTVM S/A,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/11/2011,RSFN,Não
02335109,CCLA ZONA DA MATA LTDA,CCLA ZONA DA MATA LTDA,02335109000105,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02338666,CCLA CREDIEMBRAPA,CCLA CREDIEMBRAPA,02338666000180,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02347114,GREENCRED CC,GREENCRED CC,02347114000138,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
02382755,SICOOB POTIGUAR,SICOOB POTIGUAR,02382755000123,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02398976,SISPRIME DO BRASIL - COOP,SISPRIME DO BRASIL - COOP,02398976000190,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,24/11/2009,RSFN,Sim
02405189,COOP ÚNILOS,COOP ÚNILOS,02405189000128,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02446089,COOP CRESOL UNIAO,COOP CRESOL UNIAO,02446089000140,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02447120,CC SICOOB EXTREMO SUL LTDA.,CC SICOOB EXTREMO SUL LTDA.,02447120000167,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02448310,COOP CRESOL PROGRESSO,COOP CRESOL PROGRESSO,02448310000107,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02448839,SICOOB CREDIUNIÃO,SICOOB CREDIUNIÃO,02448839000112,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02466552,CC SICOOB VALE SUL,CC SICOOB VALE SUL,02466552000115,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02475222,COOPSERVIDOR ES,COOPSERVIDOR ES,02475222000196,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
02480577,CCLA E DOS ADV,CCLA E DOS ADV,02480577000173,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02493000,SICOOB LESTE,SICOOB LESTE,02493000000104,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02507780,IBBA,IBBA,02507780000196,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02528151,CC SICOOB CREDCOOP,CC SICOOB CREDCOOP,02528151000142,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02587492,CCLA URUBICI,CCLA URUBICI,02587492000199,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02641969,CCLAA NOVA TRENTO,CCLAA NOVA TRENTO,02641969000177,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02663426,COOP CRESOL NOROESTE,COOP CRESOL NOROESTE,02663426000150,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02671743,BANVOX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BANVOX DTVM,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,28/06/2024,RSFN,Não
02682287,PAN FINAN,PAN FINAN,02682287000102,"Sociedade de Crédito, Financiamento e Investimento",Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Etapa Homologatória,nan,03/07/2023,RSFN,Não
02685483,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",CM CAPITAL MARKETS CCTVM LTDA,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,20/01/2017,RSFN,Não
02766672,COOP CRESOL PLANALTO SUL,COOP CRESOL PLANALTO SUL,02766672000138,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
02794761,SICOOB UFVCREDI,SICOOB UFVCREDI,02794761000198,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
